longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,income_cat,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,median_house_value
-119.01,36.06,25.0,1505.0,437.0,1392.0,359.0,1.6812,2.0,1,0,0,0,47700.0
-119.46,35.14,30.0,2943.0,437.0,1565.0,584.0,2.5313,2.0,1,0,0,0,45800.0
-122.44,37.8,52.0,3830.0,437.0,1310.0,963.0,3.4801,3.0,0,0,1,0,500001.0
-118.72,34.28,17.0,3051.0,437.0,1705.0,495.0,5.7376,4.0,0,0,0,0,218600.0
-121.93,36.62,34.0,2351.0,437.0,1063.0,428.0,3.725,3.0,0,0,0,1,278000.0
-117.61,34.08,12.0,4427.0,437.0,2400.0,843.0,4.7147,4.0,1,0,0,0,158700.0
-118.02,33.89,36.0,1375.0,437.0,670.0,221.0,5.0839,4.0,0,0,0,0,198200.0
-118.08,33.92,38.0,1335.0,437.0,1011.0,269.0,3.6908,3.0,0,0,0,0,157500.0
-122.08,37.39,4.0,2292.0,437.0,1050.0,584.0,4.8036,4.0,0,0,1,0,340000.0
-118.23,34.18,45.0,2332.0,437.0,943.0,339.0,8.1132,5.0,0,0,0,0,446600.0
-120.37,38.01,30.0,473.0,437.0,242.0,93.0,2.5417,2.0,1,0,0,0,123200.0
-118.12,34.08,35.0,2248.0,437.0,1762.0,622.0,3.0,2.0,0,0,0,0,253900.0
-117.91,33.76,20.0,4413.0,437.0,4818.0,1063.0,2.8594,2.0,0,0,0,0,215100.0
-119.19,34.2,18.0,3620.0,437.0,3171.0,779.0,3.3409,3.0,0,0,0,1,220500.0
-117.98,33.92,27.0,3700.0,437.0,1793.0,552.0,5.3668,4.0,0,0,0,0,219800.0
-117.91,34.02,22.0,6269.0,437.0,5587.0,1251.0,3.8201,3.0,0,0,0,0,136200.0
-122.1,37.69,41.0,746.0,437.0,387.0,161.0,3.9063,3.0,0,0,1,0,178400.0
-121.02,37.48,26.0,467.0,437.0,244.0,83.0,4.1346,3.0,1,0,0,0,187500.0
-117.05,32.75,36.0,2024.0,437.0,1030.0,390.0,3.8233,3.0,0,0,0,1,139800.0
-120.97,37.43,27.0,1380.0,437.0,810.0,262.0,2.1875,2.0,1,0,0,0,137500.0
-122.16,37.45,47.0,4234.0,437.0,1808.0,1093.0,4.2297,3.0,0,0,1,0,425000.0
-118.37,34.07,50.0,2519.0,437.0,1117.0,516.0,4.3667,3.0,0,0,0,0,405600.0
-119.73,36.83,8.0,3602.0,437.0,1959.0,580.0,5.3478,4.0,1,0,0,0,138800.0
